id,category,value,date,notes
1,B,137.52,2024-01-02,
2,B,73.0,2024-01-03,check
3,B,90.5,2024-01-04,ok
4,C,77.47,2024-01-05,
5,C,78.45,2024-01-06,
6,A,68.06,2024-01-07,ok
7,C,74.93,2024-01-08,check
8,B,177.55,2024-01-09,review
9,C,78.75,2024-01-10,ok
10,C,136.56,2024-01-11,
11,A,79.57,2024-01-12,ok
12,C,31.78,2024-01-13,check
13,C,160.45,2024-01-14,check
14,A,68.41,2024-01-15,review
15,B,69.96,2024-01-16,ok
16,A,72.19,2024-01-17,check
17,C,166.07,2024-01-18,review
18,B,154.99,2024-01-19,check
19,C,137.31,2024-01-20,
20,C,88.32,2024-01-21,
21,C,75.52,2024-01-22,ok
22,C,68.98,2024-01-23,review
23,B,190.3,2024-01-24,review
24,C,146.44,2024-01-25,
25,A,89.06,2024-01-26,
26,C,105.02,2024-01-27,ok
27,A,35.21,2024-01-28,review
28,B,41.3,2024-01-29,ok
29,B,39.4,2024-01-30,ok
30,B,184.3,2024-01-31,ok
31,B,75.72,2024-02-01,
32,B,63.09,2024-02-02,
33,A,142.36,2024-02-03,check
34,B,113.19,2024-02-04,ok
35,B,34.69,2024-02-05,review
36,C,20.75,2024-02-06,check
37,C,73.99,2024-02-07,ok
38,B,35.9,2024-02-08,review
39,A,153.05,2024-02-09,ok
40,A,90.13,2024-02-10,ok
41,A,62.39,2024-02-11,review
42,B,180.08,2024-02-12,
43,B,140.05,2024-02-13,review
44,B,148.15,2024-02-14,check
45,C,170.32,2024-02-15,check
46,C,85.25,2024-02-16,review
47,C,158.21,2024-02-17,check
48,A,109.18,2024-02-18,check
49,C,99.56,2024-02-19,ok
50,A,10.19,2024-02-20,check
51,B,107.28,2024-02-21,check
52,C,188.78,2024-02-22,review
53,C,30.31,2024-02-23,ok
54,B,51.19,2024-02-24,review
55,C,54.57,2024-02-25,ok
56,B,191.03,2024-02-26,ok
57,B,106.82,2024-02-27,check
58,B,60.59,2024-02-28,
59,B,136.88,2024-02-29,review
60,B,119.57,2024-03-01,review
